code,question,year,paper,topic1,subtopic1,topic2,subtopic2,topic3,subtopic3,graph?,word_prob?
00K,"A composite wire of diameter $ 1$ cm consists of copper and steel wires of lengths $ 2.2$ m and $ 2$ m respectively. Total extension of the wire when stretched by a force is $ 1.2$ mm. Calculate the force, given that Young’s modulus for copper is $ 1.1 \times 10^{11}$ Pa and for steel is $ 2 \times 10^{11}$ Pa. ",2018,2,Properties of Matter,Elasticity,.,.,.,.,0,0
00L,"What do you understand by the following terms?
(i) A perfectly plastic material 
(ii) The ultimate tensile strength 
(iii) An elastic limit 
(iv) Poisson’s ratio. ",2018,2,Properties of Matter,Elasticity,.,.,.,.,0,1
00M,Two rods of different materials but of equal cross-sections and lengths $ 1.0$ m each are joined to make a rod of length $ 2.0$ m. The metal of one rod has coefficient of linear thermal expansion of $ 10^{-5}^{\circ}$C$ ^{-1}$ and Young’s Modulus $ 3 \times 10^{10}$ N$/$m$ ^{2}$ . The other metal has the values $ 2 \times 10^{-5}^{\circ}$C$ ^{-1}$ and $ 10^{10}$ N$/$m$ ^{2}$ respectively. How much pressure must be applied to the ends of the composite rod to prevent its expansion when the temperature is raised by $ 100^{\circ}$C? ,2018,2,Properties of Matter,Elasticity,.,.,.,.,0,0
00N,"Briefly explain the effect of the dielectric material on the capacitance of a capacitor when the capacitor is:
(i) Isolated. 
(ii) Connected to the battery.",2018,2,Electrostatics,Capacitance,.,.,.,.,0,1
00O,How are the electrolytic capacitors made? ,2018,2,Electrostatics,Capacitance,.,.,.,.,0,1
00P,"Two point charges of equal mass $ m$ and charge $ Q$ are suspended at a common point by two threads of negligible mass and length $ L$ . If the two point charges are at equilibrium,  show that;
(i) The distance of separation $ x=({Q^{2}L}/{2\pi\epsilon _{0}mg})^{1/3}$
(ii) The angle of inclination $ \beta = ^{3}\sqrt{(Q^{2})/(16\pi\epsilon _{0}mgL^{2})}$ ",2018,2,Electrostatics,The Electric Field,.,.,.,.,0,0
00Q,"Two point charges, $ q_{A}=+3$ $\mu$C and $ q_{b}=-3$ $\mu$C, are located $ 0.2$ m apart in vacuum. Find; 
(i) the electric field at the midpoint of the line joining two charges. 
(ii) the force experienced by the negative test charge of magnitude $ 1.5 \times 10^{-9}$ C placed at this point.",2018,2,Electrostatics,The Electric Field,.,.,.,.,0,0
00R,What is meant by the term Ballistic galvanometer? ,2018,2,.,.,.,.,.,.,0,1
00S,State two conditions to be fulfilled for a galvanometer to be used as a ballistic galvanometer. ,2018,2,.,.,.,.,.,.,0,1
00T,"Consider a small flat coil which has $ N$ turns of area A and whose plane is perpendicular to a magnetic field of flux density $ B$ . If the search coil is connected to the ballistic galvanometer and the total resistance of the circuit is $ R$ , use the laws of electromagnetic induction to show that the charge delivered to the galvanometer does not depend on how long it takes to remove the search coil from the field. ",2018,2,Electromagnetism,Electromagnetic Induction,.,.,.,.,0,0
00U,"A circular coil of $ 300$ turns has a radius of $ 10$ cm and carries a current of $ 7.5$ A. Calculate the magnetic field at:
(i) the centre of the coil. 
(ii) a point which is at a distance of $ 5$ cm from the centre of the coil. ",2018,2,Electromagnetism,Magnetic Fields,.,.,.,.,0,0
00V,"Mention the three magnetic materials and briefly explain each one. 
Give the differences between the magnetic materials mentioned above in terms of their magnetic susceptibility. ",2018,2,Electromagnetism,Magnetic Properties of Materials,.,.,.,.,0,1
00W,"Define the following terms:
(i) Ampere 
(ii) Hysteresis ",2018,2,Electromagnetism,Magnetic Properties of Materials,.,.,.,.,0,1
00X,"Two parallel conductors $ A$ and $ B$ are situated $ 0.16$ m apart. Conductor $ A$ , carries a current of $ 4$ A and conductor $ B$ , carries a current of $ 8$ A. The directions of the currents are shown in the Figure below. Find the distance from A to a point where the magnetic fields due to $ A$ and $ B$ cancel each other (Ignore the effects of earth’s magnetic field).
### insert figure here ###",2018,2,Electromagnetism,Magnetic Forces,.,.,.,.,1,0
00Y,What do you understand by the term photon. ,2018,2,Vibrations and Waves,Electromagnetic Waves (em-waves),.,.,.,.,0,1
00Z,List down any three properties of a photon. ,2018,2,Vibrations and Waves,Electromagnetic Waves (em-waves),.,.,.,.,0,1
10,State any four laws of photoelectric emission. ,2018,2,Vibrations and Waves,Physical Optics (interferance/diffraction/polarization),.,.,.,.,0,1
11,Briefly explain what led de-Broglie to think that the material particles may also show wave nature and why the wave nature of matter not noticeable in our daily observations? ,2018,2,.,.,.,.,.,.,0,1
12,"Prove that de-Broglie wavelength $ \lambda $ , of electrons of kinetic energy $ E$ is given by $ \lambda = h/ \sqrt{2}$ meV  where $ m$ is the mass of the electron, $ e$ is the charge of the electron, $ h$ is the Planck’s constant and v is the accelerating potential difference. ",2018,2,.,.,.,.,.,.,0,0
13,"Light of wavelength $ 488$ nm is produced by an argon laser which is used in the photoelectric effect. When light from this spectral line is incident on the emitter, the stopping (cut-off) potential of photoelectrons is $ 0.38$ V. Find the work function of the material from which the emitter is made. ",2018,2,Atomic Physics,Quantum Physics,Atomic Physics,LASER,.,.,0,0
14,"Use the concept of radioactive decay and nuclear reactions to define the following terms:
(i) $ \alpha $ decay
(ii) $ \beta$ decay
(iii) $ \gamma $ decay
(iv) Fission
(v) Fusion.
For each of the terms above, give one suitable reaction equation. ",2018,2,Atomic Physics,Nuclear Physics,.,.,.,.,0,0
15,"A freshly prepared sample of a radioactive isotope $ Y$ contains $ 10^{12}$ atoms. The half-life of the isotope is $ 15$ hours. Calculate;
(i) the initial activity. 
(ii) the number of radioactive atoms of $ Y$ remaining after $ 2$ hours, ",2018,2,Atomic Physics,Nuclear Physics,.,.,.,.,0,0
16,Mention any four important features in the design of a nuclear reactor.,2018,2,Atomic Physics,Nuclear Physics,.,.,.,.,0,1
17,Differentiate binding energy from mass defect.,2018,2,Atomic Physics,Nuclear Physics,.,.,.,.,0,1
18,"Calculate the binding energy per nucleon, in MeV and the packing fraction of an alpha particle.",2018,2,Atomic Physics,Nuclear Physics,.,.,.,.,0,1
19,"Given: Mass of proton $ =1.0080$ u, Mass of neutron $ =1.0087$ u and Mass of alpha particle $ =4.0026$ u.
State any three limitations of Bohr’s model of the hydrogen atom.",2018,2,Atomic Physics,Structure of the Atom,.,.,.,.,0,0
01A,"In a hydrogen atom model, an electron of mass $ m$ and charge $ e$ revolves around the nucleus in a circular orbit of radius $ r$ . Develop an expression for the radius $ 3$ m of the orbit in terms of $ m$ , $ e$ , $ x$ , the quantum number $ n$ , Planck constant $ h$ and the permitting of free space $ \epsilon _{0}$ , and hence, use their values to find the Bohr’s radius. ",2018,2,Atomic Physics,Quantum Physics,.,.,.,.,0,0
01B,Distinguish between ionization energy and excitation energy.,2018,2,Current Electricity,Electric Conduction in Gases,.,.,.,.,0,1
01C,Why hydrogen spectrum contains a larger number of spectral lines although its  atom has only one electron? ,2018,2,Atomic Physics,Structure of the Atom,.,.,.,.,0,1
01D,"The Figure below shows the energy level diagram of the hydrogen atom.
### insert figure here ###
(i)  Calculate the frequency and wavelength of the radiation emitted as a result of an electron transition from $ n=4$ to when an electron is in its ground state.
(ii) What is the energy at the level where $ n=5$  decay
(iii) $ \gamma $ decay
(iv) Fission
$ (v$ ) Fusion.
For each of the terms above, give one suitable reaction equation. ",2018,2,Atomic Physics,Nuclear Physics,.,.,.,.,1,0
01E,"A freshly prepared sample of a radioactive isotope $ Y$ contains $ 10^{12}$ atoms. The half-life of the isotope is $ 15$ hours. Calculate;
(i) the initial activity. 
(ii) the number of radioactive atoms of $ Y$ remaining after $ 2$ hours, ",2018,2,Atomic Physics,Nuclear Physics,.,.,.,.,0,0
01F,Mention any four important features in the design of a nuclear reactor.,2018,2,Atomic Physics,Nuclear Physics,.,.,.,.,0,1
01G,Differentiate binding energy from mass defect.,2018,2,Atomic Physics,Nuclear Physics,.,.,.,.,0,1
01H,"Calculate the binding energy per nucleon, in MeV and the packing fraction of an alpha particle.
Given: Mass of proton $ =1.0080$ u, Mass of neutron $ =1.0087$ u and Mass of alpha particle $ =4.0026$ u.",2018,2,Atomic Physics,Nuclear Physics,.,.,.,.,0,0
01I,State any three limitations of Bohr’s model of the hydrogen atom.,2018,2,Atomic Physics,Structure of the Atom,.,.,.,.,0,1
01J,"In a hydrogen atom model, an electron of mass $ m$ and charge $ e$ revolves around the nucleus in a circular orbit of radius $ r$ . Develop an expression for the radius $ 3$ m of the orbit in terms of $ m$ , $ e$ , $ x$ , the quantum number $ n$ , Planck constant $ h$ and the permitting of free space $ \epsilon _{0}$ , and hence, use their values to find the Bohr’s radius. ",2018,2,Atomic Physics,Quantum Physics,.,.,.,.,0,0
01K,Distinguish between ionization energy and excitation energy.,2018,2,Atomic Physics,Structure of the Atom,.,.,.,.,0,1
01L,Why hydrogen spectrum contains a larger number of spectral lines although its  atom has only one electron? ,2018,2,Atomic Physics,Structure of the Atom,.,.,.,.,0,1
01M,"The Figure below shows the energy level diagram of the hydrogen atom.
### insert figure here ###
(i)  Calculate the frequency and wavelength of the radiation emitted as a result of an electron transition from $ n=4$ to when an electron is in its ground state.
(ii) What is the energy at the level where $ n=5$ ?
",2018,2,Atomic Physics,Structure of the Atom,.,.,.,.,1,0
01O,"Distinguish random error from systematic error.
Give a practical example of random error and systematic error and briefly explain how they can be reduced or eliminated.",2014,1,Measurement,Errors,.,.,.,.,0,1
01P,Define the terms error and mistake.,2014,1,Measurement,Errors,.,.,.,.,0,1
01Q,"An experiment was done to find the acceleration due to gravity by using the formula: $ T=2\pi\sqrt{l/g}$ , where all symbols carry their usual meaning.  If the clock losses $ 3$ seconds in $ 5$ minutes, determine the error in measuring ‘$ g$ ’ given that, $ T=2.22$ sec, $ l=121.6$ cm, $ \Delta T_{1}=0.1$ sec, and  $ \Delta l=\pm 0.05$ .",2014,1,Measurement,Errors,.,.,.,.,0,0
01R,What is the importance of dimensional analysis inspite of its drawbacks?,2014,1,Measurement,Physical Quantities,.,.,.,.,0,1
01S,"The following measurements were taken by a student fort he length of a piece of rod: $ 21.02$ , $ 20.99$ , $ 20.92$ , $ 21.11$ and $ 20.69$ . Basing on error analysis find the true value at the length of a piece of rod and its associated error.",2014,1,Measurement,Errors,.,.,.,.,0,0
01T,Outline the motions that add up to make projectile motion. ,2014,1,Mechanics,Projectile Motion,.,.,.,.,0,1
01U,"In the first second of its flight, a rocket ejects $ 1/60$ of  its mass with a relative velocity of $ 2400$ m$/$s.
Find its acceleration.
What is the final velocity if the ratio of initial to final mass of the rocket is $ 4$ at a time of $ 60$ seconds? ",2014,1,Mechanics,Projectile Motion,.,.,.,.,0,0
01V,"A ball is thrown upwards with an initial velocity of $ 33$ m$/$s from a point $ 65^{\circ}$ on the side of a hill which slopes upward uniformly at an angle of $ 28^{\circ}$ .
At what distance up the slope does the ball strike?
Calculate the time of flight of the ball. ",2014,1,Mechanics,Projectile Motion,.,.,.,.,0,0
01W,"State the principle of conservation of linear momentum. 
Give two examples of the principle of conservation of linear momentum. ",2014,1,Mechanics,Newton’s Laws of Motion,.,.,.,.,0,1
01X,"A cannon of mass $ 1300$ kg fires a $ 72$ kg ball in a horizontal direction with a nuzzle speed of $ 55$ m$/$s, If the cannon is mounted so that it can recoil freely calculate the:
(i)  recoil velocity of the cannon relative to the earth. 
(ii) horizontal velocity of the ball relative to the earth. ",2014,1,Mechanics,Projectile Motion,.,.,.,.,0,0
01Y,Define the term ‘radial acceleration’. ,2014,1,Mechanics,Uniform Circular Motion,.,.,.,.,0,1
01Z,An insect is released from rest at the top of the smooth bowling ball such that it slides over the ball. Prove that it will loose its footing with the ball at an angle of about $ 48^{\circ}$ with the vertical.,2014,1,Mechanics,Newton’s Laws of Motion,.,.,.,.,0,0
20,State where the magnitude of acceleration is greatest in simple harmonic motion.,2014,1,Mechanics,Simple Harmonic Motion,.,.,.,.,0,1
21,Sketch a graph of acceleration against displacement for a simple harmonic motion.,2014,1,Mechanics,Simple Harmonic Motion,.,.,.,.,0,1
22,"A vertical spring fixed at one end has a mass of $ 0.2$ kg and is attached at the other end.
Determine the:
(i) Extension of the spring.
(ii) Energy stored in the spring.",2014,1,Mechanics,Newton’s Laws of Motion,.,.,.,.,0,0
23,"The displacement of a particle from the equilibrium position moving with simple harmonic motion is given by $ x=0.05 \sin(6t)$ , where $ t$ is the time in seconds measured at an instant when $ x=0$ .  Calculate the:
(i) Amplitude of oscillations.
(ii) Period of oscillations. 
(iii)  Maximum acceleration of the particle. ",2014,1,Mechanics,Simple Harmonic Motion,.,.,.,.,0,0
24,Define the universal gravitational constant.,2014,1,Mechanics,Gravitation,.,.,.,.,0,1
25,How is the gravitational potential related to gravitational field strength?,2014,1,Mechanics,Gravitation,.,.,.,.,0,1
26,"Write down an expression for the acceleration due to gravity (g) of a body of mass (m) which is at a  distance (r) from the centre of the earth. 
If the Earth were made of lead of relative density of $ 11.3$ kg$/$m$ ^{3}$ , what would he the value of acceleration due to gravity on the surface of the earth?",2014,1,Mechanics,Gravitation,.,.,.,.,0,0
27,Why the value of acceleration due to gravity (g) changes due to the change in latitude? Give two reasons.,2014,1,Mechanics,Gravitation,.,.,.,.,0,1
28,A rocket is fired from the earth towards the sun. At what point on its path is the gravitational force on the rocket zero?,2014,1,Mechanics,Gravitation,.,.,.,.,0,1
29,Define torque and give its S.I. unit.,2014,1,Mechanics,Newton’s Laws of Motion,.,.,.,.,0,1
02A,"A disc of moment of inertia $ 2.5\times10^{-4}$ kg$/$m$ ^{2}$ is rotating freely about an axis through its centre at $ 20$ rev/min. If some wax of mass $ 0.04$ kg is dropped gently on to the disc $ 0.05$ m from its axis, what will be the new revolution per minute of the disc? ",2014,1,Mechanics,Rotation of Rigid Bodies,.,.,.,.,0,0
02B,"Explain briefly why a:
(i) high diver can turn more somersaults before striking the water?
(ii) dancer on skates can spin faster by folding her arms?",2014,1,Mechanics,Rotation of Rigid Bodies,.,.,.,.,0,1
02C,"A heavy flywheel of moment of inertia $ 0.4$ kg$/$m$ ^{2}$ is mounted on a horizontal axle of radius $ 0.01$ m. If a force of $ 60$ N is applied tangentially to the axle:
(i)  Calculate the angular velocity of the flywheel after $ 5$ seconds from rest.
(ii) List down two assumptions taken to arrive at your answer in above.",2014,1,Mechanics,Rotation of Rigid Bodies,.,.,.,.,0,0
02D,Give two ways in which the internal energy of the system can be changed.,2014,1,Mechanics,Newton’s Laws of Motion,.,.,.,.,0,1
02E,List down two simple applications of the First law of thermodynamics in our daily life.,2014,1,Heat,First Law of Thermodynamics,.,.,.,.,0,1
02F,"One mole of a gas expands from volume, $ V_{1}$ , to a volume $ V_{2}$ . If the gas obeys the Van-der-Waal’s equation, $ (p+ a/v^{2})(v – b)=$ RT, derive the formula for work done in this process.",2014,1,Properties of Matter,Kinetic Theory of Gases,.,.,.,.,0,0
02G,"A heat engine works at two temperatures of $ 27^{\circ}$C and $ 227^{\circ}$C. Calculate the:
Efficiency of the engine. 
Temperature which will increase the efficiency by $ 10\%$ if the room temperature is kept at $ 27^{\circ}$C. ",2014,1,Heat,First Law of Thermodynamics,.,.,.,.,0,0
02H,Define thermal convection.,2014,1,Heat,Thermal Convection,.,.,.,.,0,1
02I,"Prove that at a very small temperature difference, DELTA $ T=T_{b}$ – $ T_{s}$ ,  Newton's law of cooling obeys the Stefan’s law, whereby $ T_{b}$ , is the temperature of the body and $ T_{s}$ is the temperature of the surrounding. ",2014,1,Heat,Thermal Convection,Heat,Thermal Radiation,.,.,0,0
02J,What is meant by temperature of inversion?,2014,1,Heat,Thermometers,.,.,.,.,0,1
02K,A thermometer was wrongly calibrated as mt reads the melting point of ice as $ -10^{\circ}$C and reading a temperature of $ 60^{\circ}$C in place of $ 50^{\circ}$C What would be the temperature of boiling point of water on this scale? ,2014,1,Heat,Thermometers,.,.,.,.,0,0
02L,"What is meant by the following terms:
(i) Alternating current (a.c.)
(ii) Effective value of A.C. ",2014,1,Current Electricity,Alternating Current (ac),.,.,.,.,0,1
02M,"A $ 60$ V, $ 10$ W lamp is to be run on $ 100$ V, $ 60$ Hz A.C mains.
(i) Calculate the inductance of a choke coil required.
(ii) If a resistor is used in above instead of choke, what will be value of its resistance.",2014,1,Current Electricity,Alternating Current (ac),.,.,.,.,0,0
02N,"An LCR circuit with $ R=70\Omega$ in series with a parallel combination of $ L=1.5$ H and
$ C=30$ $\mu$F is driven by a $ 230$ V supply with angular frequency of $ 300$ rad$/$s.
$ (1)$ Find the power in put to the circuit. 
(ii)  At the frequency $ \omega_{o}=1/(\sqrt{LC})$ , how does the circuit respond?",2014,1,Current Electricity,Alternating Current (ac),.,.,.,.,0,0
02O,"Define the following terms:
(i) Current density
(ii) Conductivity ",2014,1,Current Electricity,Electric Conduction in Metals,.,.,.,.,0,1
02P,Under what condition is $ \Omega $ ’s law true?,2014,1,Current Electricity,Electric Conduction in Metals,.,.,.,.,0,0
02Q,Why does the voltage across the terminals of a cell or battery fall when it is delivering a current? ,2014,1,Current Electricity,Electric Conduction in Metals,.,.,.,.,0,1
02R,"Define temperature coefficient of resistance.
A heating coil of Nichrome wire with cross sectional area of $ 0.1 $ mm$ ^{2}$ operates on a $ 12$ V supply, and has a power of $ 36$ W when immersed in water at $ 373$ K. Calculate the length of the wire.",2014,1,Current Electricity,Electric Conduction in Metals,.,.,.,.,0,0
02S,"What is meant by the following electronic circuits:
(i) Logic gates 
(ii) Integrated circuits",2014,1,Electronics,Logic Gates,.,.,.,.,0,1
02T,"Draw a truth table for the circuit in Figure $ 1$ including the states at $ C$ , $ D$ , $ E$ , $ F$ and $ G$ . 
### Insert Image here ###",2014,1,Electronics,Logic Gates,.,.,.,.,1,0
02U,"Study the circuit in below, then answer the questions that follow:
### Insert Image here ###
(i) What type of a single gate would provide exactly the same function as a a circuit in the figure?
(ii) Draw the diagram of a symbol representing a single gate as described above.",2014,1,Electronics,Transistors,.,.,.,.,1,1
02V,What is light emitting diode (LED).,2014,1,Electronics,Semiconductors,.,.,.,.,0,1
02W,Give three advantages of LED's lamp in radio and other electronic system over filament lamps.,2014,1,Electronics,Semiconductors,.,.,.,.,0,1
02X,What is the basic difference between good conductors and semiconductors.,2014,1,Electronics,Semiconductors,.,.,.,.,0,1
02Y,"Two silicon diode each of forward bias voltage of $ 0.7$ V are connected in a circuit as shown below:
### Insert image here ###
Calculate the value of $ I_{1}$ and $ I_{2}$",2014,1,.,.,.,.,.,.,1,0
02Z,"Mention two types of transistors.
Which among the transistors mentioned above responds quickly to electrical signal? Give reason for your answer.",2014,1,Electronics,Transistors,.,.,.,.,0,1
30,"Give the meaning of the following terms:
(i) Bandwidth
(ii)  Amplitude modulated carrier wave",2014,1,Electronics,Telecommunication,.,.,.,.,0,1
31,What is the purpose of amplifiers in a phone link? ,2014,1,Electronics,Operational Amplifiers,.,.,.,.,0,1
32,Sketch the frequency spectrum for $ 1500$ m radio waves modulated by $ 4$ kHz audio signal.,2014,1,Electronics,Telecommunication,.,.,.,.,0,0
33,List down two advantages of digital signals over analogue signals.,2014,1,Electronics,Telecommunication,.,.,.,.,0,1
34,A carrier of frequency $ 800$ kHz is amplitude modulated by frequencies ranging from $ 1$ kHz to $ 10$ kHz.  What frequency range does each sideband cover?,2014,1,Electronics,Telecommunication,.,.,.,.,0,0
35,"Describe the sources and effects of the following pollutants on the environment:
(i) Air pollution. 
(ii) Radiation pollution.",2014,1,Environmental Physics,Environmental Pollution,.,.,.,.,0,1
36,"Briefly explain the influence of the following climatic conditions for plant growth and development:
(i) Rain fall and water
(ii) Wind
",2014,1,Environmental Physics,Agricultural Physics,.,.,.,.,0,1
37,Mention two applications and two limitations of dimensional analysis.,1999,1,Measurement,Physical Quantities,.,.,.,.,0,1
38,"The frequency $ f$ of a note produced by a taut wire stretched between two supports depends on the distance ​ $ l$ ​ between the supports, the mass per unit length of the wire,$ \mu $ , and the tension $ T$ . Use dimensional analysis to find how $ f$ is related to ​ $ l$ ​ , mu, and $ T$ .",1999,1,Measurement,Physical Quantities,.,.,.,.,0,0
39,Define momentum,1999,1,Mechanics,Newton’s Laws of Motion,.,.,.,.,0,1
03A,Define impulse of a force,1999,1,Mechanics,Newton’s Laws of Motion,.,.,.,.,0,1
03B,"A jet of water emerges from a hose pipe of a cross-sectional area $ 5.0x10^{-3}$ m​$ ^{2}$ with a velocity of $ 3.0$ m$/$s and strikes a wall at right angle. Assuming the water to be brought to rest by the wall and does not rebound, calculate the force on the wall.",1999,1,Mechanics,Newton’s Laws of Motion,.,.,.,.,0,0
03C,What do you understand by the term escape velocity?,1999,1,Mechanics,Gravitation,.,.,.,.,0,1
03D,Calculate the escape velocity from the moon’s surface given that a man on the moon has $ 1/6$ his weight on earth. The mean radius of the moon is $ 1.75 \times 10^6$ m.,1999,1,Mechanics,Gravitation,.,.,.,.,0,0
03E,Give two similarities between simple harmonic motion and circular motion.,1999,1,Mechanics,Simple Harmonic Motion,.,.,.,.,0,1
03F,"On the same set of axes, sketch how energy exchange (kinetic to potential) takes place in an oscillator placed in a damping medium.",1999,1,Mechanics,Simple Harmonic Motion,.,.,.,.,0,1
03G,State the parallel axis theorem.,1999,1,Mechanics,Rotation of Rigid Bodies,.,.,.,.,0,1
03H,Show that the Kinetic energy (K.E.) of rotation of a rigid body about an axis with a constant angular velocity $ w$ is given by $ KE =1/2Iw^{2}$ where i is the moment of inertia of the rigid body about the given axis.,1999,1,Mechanics,Rotation of Rigid Bodies,.,.,.,.,0,0
03I,Distinguish between static and dynamic friction.,1999,1,Mechanics,Newton’s Laws of Motion,.,.,.,.,0,1
03J,With the help of a well labelled diagram briefly explain how you will determine the coefficient of viscosity of a liquid by a constant pressure head apparatus in the laboratory.,1999,1,Fluid Dynamics,Viscosity and Turbulent Flow,.,.,.,.,0,1
03K,"Explain in terms of surface energy, what is meant by the surface tension, ​ $ \gamma $ ​ of a liquid. ",1999,1,Properties of Matter,Surface Tension,.,.,.,.,0,0
03L,What energy is required to form a soap bubble of radius $ 1.00$ mm if the surface tension of the soap solution is $ 2.5 \times 10$ ​$ E-4$ ​ N$/$m$ ^{2}$ ​ ?,1999,1,Properties of Matter,Surface Tension,.,.,.,.,0,0
03M,Write down the equation of continuity of a fluid defining all your symbols.,1999,1,Fluid Dynamics,Streamline Flow and Continuity,.,.,.,.,0,1
03N,"The velocity at a certain point in a flow pipe is $ 1.0$ ms$ ^{-1}$ and the gauge pressure there is $ 3 \times 10^5 $ N$/$m$ ^{2}$ ​ . The cross-sectional area at a point $ 10$ m above the first is half that at the first point. If the flowing fluid is pure water, calculate the gauge pressure at the second point.",1999,1,Fluid Dynamics,Bernoulli's Principle,.,.,.,.,0,0
03O,What do you understand by the term: Thermodynamic temperature scale,1999,1,Heat,First Law of Thermodynamics,.,.,.,.,0,1
03P,What do you understand by the term:   Triple point of water,1999,1,Heat,Thermometers,.,.,.,.,0,1
