,Question,Year,Topic,Subtopic
31,"### PICTURE 1 ###
Determine the magnitudes of I​ 1​ and I​ 3​ .
3",1999,Electrostatics,Capacitance
32,"Write down an expression for the forces on an electron when moving perpendicular to: an electric field
Write down an expression for the forces on an electron when moving perpendicular to: a magnetic field.",1999,Electromagnetism,Magnetic Fields
33,"An electron is moving in a uniform electric field of intensity 1.2 x 10​ 5​ Vm​ -1.  Find the acceleration of the electron.
What is a resonant frequency of an oscillator?",1999,Electrostatics,The Electric Field
34,"Consider the LRC series circuit. The r.m.s. voltages across each component are as shown.
Calculate",1999,Electrostatics,Electric Potential
35,"### PICTURE 2 ###
The r.m.s. current passing through R.
The resonant frequency for the values of L, C and R.",1999,Electrostatics,Electric Potential
36,Draw the symbol of n-p-n transistor.,1999,Electronics,Transistors
37,"Distinguish between insulators, semi-conductors and metals as far as conduction is concerned.",1999,Electronics,Semiconductors
38,What is the “work function” of a metal?,1999,Electronics,Semiconductors
39,"The work function of a metal is 2.0 eV. Calculate the stopping potential when the metal is
illuminated by light of frequency of 6.0 x 10​ 14​ Hz.",1999,Atomic Physics,Quantum Physics
40,What is nuclear fusion ,1999,Atomic Physics,Nuclear Physics
41,What is nuclear fission?,1999,Atomic Physics,Nuclear Physics
42,"### PICTURE 3 ###
In the following nuclear reactions find the values of x, y and z.",1999,Atomic Physics,Nuclear Physics
